sample,hardware_type,file_system,strategy,split_time,merge_time
bigBrainSample1-1-0.nii,hdd,ext4,Strategy.MULTIPLE,61.312700033187866,69.00990581512451
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.CLUSTERED,95.99584650993347,56.30732989311218
bigBrainSample1-1-0.nii,hdd,ext4,Strategy.MULTIPLE,62.396968603134155,69.86618089675903
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.CLUSTERED,95.68068385124207,57.19439768791199
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.MULTIPLE,39.76561498641968,40.27396035194397
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.MULTIPLE,61.614441871643066,70.82724785804749
bigBrainSample1-1-0.nii,hdd,ext4,Strategy.CLUSTERED,94.39656949043274,58.28085923194885
bigBrainSample1-1-1.nii,hdd,ext4,Strategy.MULTIPLE,62.72705030441284,71.2867636680603
bigBrainSample1-1-1.nii,hdd,ext4,Strategy.NAIVE,188.0240626335144,65.22981905937195
bigBrainSample1-1-1.nii,hdd,ext4,Strategy.MULTIPLE,63.12679982185364,72.9082932472229
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.MULTIPLE,40.80198788642883,40.17117238044739
bigBrainSample0-1-1.nii,ssd,ext4,Strategy.MULTIPLE,40.067368507385254,42.414589166641235
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.CLUSTERED,96.30405879020691,59.693668603897095
bigBrainSample1-1-0.nii,ssd,ext4,Strategy.NAIVE,124.9562418460846,52.91097450256348
bigBrainSample0-1-1.nii,ssd,ext4,Strategy.NAIVE,115.00357103347778,53.694138526916504
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.MULTIPLE,62.993428230285645,73.1796498298645
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.MULTIPLE,40.05168581008911,42.03496336936951
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.NAIVE,103.82433199882507,56.15655040740967
bigBrainSample0-1-1.nii,ssd,ext4,Strategy.NAIVE,115.93565940856934,53.64700508117676
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.CLUSTERED,98.60519742965698,60.138447999954224
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.NAIVE,71.68643379211426,43.576515436172485
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.MULTIPLE,63.78636884689331,75.06613612174988
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.MULTIPLE,63.22928214073181,75.51533722877502
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.CLUSTERED,36.88081169128418,39.236992835998535
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.MULTIPLE,40.20110249519348,39.98007249832153
bigBrainSample1-1-0.nii,ssd,ext4,Strategy.NAIVE,124.1965548992157,50.34464120864868
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.NAIVE,108.2170581817627,60.78592610359192
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.NAIVE,73.51426768302917,44.980061531066895
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.CLUSTERED,36.5943124294281,31.173412561416626
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.CLUSTERED,97.42889857292175,62.31336855888367
bigBrainSample0-1-1.nii,ssd,ext4,Strategy.CLUSTERED,37.87696099281311,32.055118560791016
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.CLUSTERED,35.501248598098755,31.82507348060608
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.NAIVE,108.37012839317322,60.84098267555237
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.NAIVE,163.7616991996765,68.59244799613953
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.NAIVE,147.01105332374573,54.804877042770386
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.NAIVE,148.45303106307983,55.1545786857605
bigBrainSample0-1-1.nii,ssd,ext4,Strategy.MULTIPLE,42.26883268356323,40.23617911338806
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.NAIVE,147.36741065979004,54.8688850402832
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.MULTIPLE,64.5858211517334,77.31218457221985
bigBrainSample1-1-0.nii,hdd,ext4,Strategy.MULTIPLE,64.98758554458618,78.45782542228699
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.CLUSTERED,37.091240882873535,31.681076288223267
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.MULTIPLE,41.19959282875061,39.678216218948364
bigBrainSample0-1-1.nii,ssd,ext4,Strategy.NAIVE,115.43046951293945,53.59942579269409
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.MULTIPLE,65.0443127155304,79.43343687057495
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.CLUSTERED,100.79072761535645,65.85645198822021
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.NAIVE,78.29465341567993,45.18004512786865
bigBrainSample1-1-0.nii,hdd,ext4,Strategy.NAIVE,158.8405864238739,64.43779182434082
bigBrainSample1-1-1.nii,hdd,ext4,Strategy.NAIVE,192.79451966285706,69.70056986808777
bigBrainSample1-1-0.nii,ssd,ext4,Strategy.NAIVE,124.68081521987915,53.48586654663086
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.CLUSTERED,34.816567182540894,31.17164635658264
bigBrainSample1-1-0.nii,ssd,ext4,Strategy.MULTIPLE,40.0164999961853,46.97057604789734
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.NAIVE,151.87484216690063,71.30463695526123
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.MULTIPLE,38.91895341873169,40.17001748085022
bigBrainSample1-1-0.nii,ssd,ext4,Strategy.MULTIPLE,39.971922636032104,45.26266574859619
bigBrainSample1-1-1.nii,hdd,ext4,Strategy.MULTIPLE,66.11525464057922,83.27875685691833
bigBrainSample1-1-0.nii,ssd,ext4,Strategy.NAIVE,124.43818736076355,50.657342195510864
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.CLUSTERED,34.86570429801941,31.39224076271057
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.CLUSTERED,101.15454626083374,68.54698014259338
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.CLUSTERED,99.34988212585449,69.61821365356445
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.CLUSTERED,37.45178937911987,31.930341958999634
bigBrainSample1-1-1.nii,hdd,ext4,Strategy.CLUSTERED,102.15000939369202,70.25325465202332
bigBrainSample0-1-1.nii,ssd,ext4,Strategy.NAIVE,115.00752186775208,50.994930267333984
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.CLUSTERED,34.51320934295654,36.60661315917969
