sample,hardware_type,file_system,strategy,split_time,merge_time,split_nb_seeks,merge_nb_seeks,split_read_time,merge_read_time,split_write_time,merge_write_time,split_seek_time,merge_seek_time
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.NAIVE,113.045734167099,153.18906950950623,3726808,3388009,59.61934971809387,19.388850450515747,51.03537940979004,125.03310537338257,0,0
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.CLUSTERED,110.26595163345337,123.36514019966125,2824,3388009,96.38700747489929,0.0607757568359375,2.174320936203003,66.98077297210693,0,0
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.MULTIPLE,39.34604811668396,51.116880655288696,0,3388011,4.506693124771118,0.0039098262786865234,2.2634756565093994,23.174522638320923,0,0
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.MULTIPLE,41.22189164161682,52.30598711967468,0,3388011,4.533421039581299,0.003954172134399414,2.2541215419769287,24.189382076263428,0,0
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.MULTIPLE,65.00192546844482,74.10747170448303,0,3388011,15.032164812088013,0.0045087337493896484,2.2797634601593018,30.68655276298523,0,0
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.CLUSTERED,88.85042142868042,69.55718159675598,2824,3388009,74.94885683059692,0.052603960037231445,2.1683380603790283,40.37556338310242,0,0
bigBrainSample1-1-1.nii,hdd,ext4,Strategy.NAIVE,189.19178771972656,110.29937958717346,3726808,3388009,66.15271425247192,29.76459813117981,120.76128697395325,71.78402042388916,0,0
bigBrainSample1-1-0.nii,hdd,ext4,Strategy.MULTIPLE,56.45035529136658,69.28555083274841,0,3388011,11.448574542999268,0.004101991653442383,2.281371593475342,31.007179498672485,0,0
bigBrainSample0-1-1.nii,ssd,ext4,Strategy.NAIVE,116.44521355628967,75.22345852851868,3726808,3388009,25.206261157989502,23.696903467178345,88.91306185722351,43.00661015510559,0,0
bigBrainSample1-1-1.nii,hdd,ext4,Strategy.MULTIPLE,57.124436140060425,69.0110228061676,0,3388011,14.593405485153198,0.004064798355102539,2.432103395462036,30.74121642112732,0,0
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.CLUSTERED,89.8928427696228,69.94718647003174,2824,3388009,75.98812198638916,0.05264997482299805,2.1673359870910645,40.32614278793335,0,0
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.NAIVE,109.82051658630371,99.92704176902771,3726808,3388009,56.40365743637085,16.801440477371216,50.98209047317505,74.5064070224762,0,0
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.CLUSTERED,35.17260456085205,45.3398802280426,2824,3388009,21.097030878067017,0.04693794250488281,2.20815110206604,27.29601240158081,0,0
bigBrainSample0-1-1.nii,ssd,ext4,Strategy.MULTIPLE,39.573073387145996,53.18506217002869,0,3388011,4.535353422164917,0.003907442092895508,2.2596845626831055,23.838001012802124,0,0
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.NAIVE,149.95783019065857,106.2739953994751,3726808,3388009,58.95976805686951,24.02690553665161,88.62540578842163,73.57492804527283,0,0
bigBrainSample0-1-1.nii,ssd,ext4,Strategy.NAIVE,117.04579472541809,77.23923349380493,3726808,3388009,25.25115728378296,23.972449779510498,89.41822052001953,44.69610786437988,0,0
bigBrainSample1-1-0.nii,hdd,ext4,Strategy.NAIVE,157.0497591495514,108.72995233535767,3726808,3388009,56.43163800239563,25.304499626159668,98.2367091178894,74.76664185523987,0,0
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.MULTIPLE,56.90634822845459,69.95612740516663,0,3388011,11.73695421218872,0.003922939300537109,2.2740304470062256,31.247917413711548,0,0
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.NAIVE,147.7927372455597,81.41248154640198,3726808,3388009,25.044493198394775,29.7324116230011,120.39883637428284,42.99004292488098,0,0
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.MULTIPLE,39.46296739578247,53.933759927749634,0,3388011,4.5498058795928955,0.003978252410888672,2.25873064994812,24.97999596595764,0,0
bigBrainSample0-1-1.nii,ssd,ext4,Strategy.NAIVE,119.22008013725281,75.05216336250305,3726808,3388009,27.13899278640747,23.769032955169678,89.65673160552979,42.78591823577881,0,0
bigBrainSample1-1-0.nii,ssd,ext4,Strategy.NAIVE,125.25778865814209,80.3535726070404,3726808,3388009,25.119959354400635,25.65828251838684,97.7855715751648,46.009005546569824,0,0
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.NAIVE,109.37653422355652,99.3513810634613,3726808,3388009,55.85128378868103,17.153146982192993,51.05988073348999,73.48983383178711,0,0
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.CLUSTERED,89.9438943862915,70.70436072349548,2824,3388009,76.0482976436615,0.04830145835876465,2.162827253341675,40.50560522079468,0,0
