sample,hardware_type,file_system,strategy,split_time,merge_time,split_nb_seeks,merge_nb_seeks,split_read_time,merge_read_time,split_write_time,merge_write_time,split_seek_time,merge_seek_time
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.NAIVE,80.34055972099304,74.00252890586853,3726808,3388009,26.73846745491028,16.787808656692505,51.24268293380737,36.26291584968567,0,11.669792890548706
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.CLUSTERED,107.11333990097046,118.22258305549622,2824,3388009,93.24852657318115,0.05350184440612793,2.2898213863372803,53.33223581314087,3.5762786865234375e-05,11.939306497573853
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.NAIVE,113.22384810447693,157.70474433898926,3726808,3388009,59.32494378089905,19.220752239227295,51.455530643463135,117.27787828445435,0,11.711209058761597
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.MULTIPLE,71.46686124801636,122.19440007209778,0,3388011,17.7693350315094,0.003980875015258789,2.226283073425293,44.405176639556885,6.890296936035156e-05,14.52938723564148
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.NAIVE,160.33187437057495,170.46254324913025,3726808,3388009,68.75754237174988,31.19123077392578,89.21394157409668,118.14401149749756,0,11.679682731628418
bigBrainSample1-1-0.nii,hdd,ext4,Strategy.MULTIPLE,80.78521752357483,127.00477480888367,0,3388011,25.306472778320312,0.004001617431640625,2.2715518474578857,47.34073996543884,7.176399230957031e-05,14.318158149719238
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.MULTIPLE,39.25459432601929,56.489256858825684,0,3388011,4.4354939460754395,0.00383758544921875,2.2181859016418457,14.394520044326782,6.961822509765625e-05,13.7832510471344
bigBrainSample1-1-0.nii,ssd,ext4,Strategy.CLUSTERED,36.56357002258301,48.71256899833679,2824,3388009,22.52068281173706,0.048383474349975586,2.3226876258850098,19.033645153045654,4.673004150390625e-05,11.83228588104248
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.CLUSTERED,34.381906270980835,49.89019203186035,2824,3388009,20.414583683013916,0.052994489669799805,2.1799137592315674,19.775099992752075,3.8623809814453125e-05,11.697357177734375
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.MULTIPLE,40.362016916275024,59.60876536369324,0,3388011,4.904572248458862,0.00393986701965332,2.262578010559082,16.143121480941772,7.128715515136719e-05,14.020192623138428
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.NAIVE,111.3346574306488,112.99190425872803,3726808,3388009,57.58847212791443,19.599759817123413,51.39754772186279,72.19983983039856,0,11.699639797210693
bigBrainSample1-1-1.nii,hdd,ext4,Strategy.CLUSTERED,89.67436504364014,78.1922082901001,2824,3388009,75.8622670173645,0.05178689956665039,2.217196464538574,36.27472519874573,3.886222839355469e-05,11.858510255813599
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.MULTIPLE,37.423367738723755,56.38709306716919,0,3388011,4.808704853057861,0.004076242446899414,2.2222740650177,14.497574806213379,7.081031799316406e-05,13.682755947113037
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.MULTIPLE,55.84354567527771,73.71639704704285,0,3388011,11.518950462341309,0.003988742828369141,2.25274395942688,20.407565116882324,7.987022399902344e-05,14.396100521087646
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.MULTIPLE,56.5456326007843,74.17050170898438,0,3388011,11.370904922485352,0.0038988590240478516,2.2231574058532715,20.316819429397583,6.961822509765625e-05,14.855422973632812
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.MULTIPLE,56.46832084655762,74.0927107334137,0,3388011,11.401278972625732,0.003851652145385742,2.2652688026428223,20.575363397598267,7.033348083496094e-05,14.600411415100098
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.NAIVE,153.87728548049927,109.64560413360596,3726808,3388009,62.346718072891235,24.310850143432617,89.2208924293518,64.3255546092987,0,11.648326396942139
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.MULTIPLE,39.270418643951416,57.5907826423645,0,3388011,4.547303915023804,0.003907918930053711,2.2474610805511475,14.860566139221191,8.988380432128906e-05,13.7062668800354
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.MULTIPLE,39.28427529335022,57.17855787277222,0,3388011,4.559061288833618,0.003957986831665039,2.243373394012451,14.711069345474243,7.390975952148438e-05,13.828840732574463
