hardware_type,file_system,function,iteration,nb_runs,seek_distance,time
ssd,ext4,timeit_seek_and_read,3,1000000,5000,2.20229792595
ssd,ext4,timeit_seek_and_read,4,1000000,5000,2.21247291565
ssd,ext4,timeit_seek_and_read,5,1000000,5000,2.21398997307
ssd,ext4,timeit_seek_and_read,6,1000000,5000,2.23245787621
ssd,ext4,timeit_seek_and_read,7,1000000,5000,2.21643090248
hdd,ext4,timeit_seek_and_read,0,1000000,5000,2.30338215828
hdd,ext4,timeit_seek_and_read,1,1000000,5000,2.27343010902
hdd,ext4,timeit_seek_and_read,2,1000000,5000,2.27742290497
hdd,ext4,timeit_seek_and_read,3,1000000,5000,2.28004002571
hdd,ext4,timeit_seek_and_read,4,1000000,5000,2.33119797707
hdd,ext4,timeit_seek_and_read,5,1000000,5000,2.32234287262
hdd,ext4,timeit_seek_and_read,6,1000000,5000,2.27878189087
hdd,ext4,timeit_seek_and_read,7,1000000,5000,2.27482104301
ram,tmpfs,timeit_seek_and_read,0,1000000,50000,1.83130502701
ram,tmpfs,timeit_seek_and_read,1,1000000,50000,1.82514810562
ram,tmpfs,timeit_seek_and_read,2,1000000,50000,1.83896899223
ram,tmpfs,timeit_seek_and_read,3,1000000,50000,1.82841992378
ram,tmpfs,timeit_seek_and_read,4,1000000,50000,1.80811905861
ram,tmpfs,timeit_seek_and_read,5,1000000,50000,1.82055497169
ram,tmpfs,timeit_seek_and_read,6,1000000,50000,1.82247114182
ram,tmpfs,timeit_seek_and_read,7,1000000,50000,1.82449412346
ssd,ext4,timeit_seek_and_read,0,1000000,50000,1.90687704086
ssd,ext4,timeit_seek_and_read,1,1000000,50000,1.90598988533
ssd,ext4,timeit_seek_and_read,2,1000000,50000,1.90893101692
ssd,ext4,timeit_seek_and_read,3,1000000,50000,1.90446519852
ssd,ext4,timeit_seek_and_read,4,1000000,50000,1.90741801262
ssd,ext4,timeit_seek_and_read,5,1000000,50000,1.90426921844
ssd,ext4,timeit_seek_and_read,6,1000000,50000,1.91624283791
ssd,ext4,timeit_seek_and_read,7,1000000,50000,1.9070019722
hdd,ext4,timeit_seek_and_read,0,1000000,50000,1.93094992638
hdd,ext4,timeit_seek_and_read,1,1000000,50000,1.93037891388
hdd,ext4,timeit_seek_and_read,2,1000000,50000,1.90963816643
hdd,ext4,timeit_seek_and_read,3,1000000,50000,1.91057896614
hdd,ext4,timeit_seek_and_read,4,1000000,50000,1.92865681648
hdd,ext4,timeit_seek_and_read,5,1000000,50000,1.91483521461
hdd,ext4,timeit_seek_and_read,6,1000000,50000,1.91065502167
hdd,ext4,timeit_seek_and_read,7,1000000,50000,1.92796516418
ram,tmpfs,timeit_seek_and_read,0,1000000,500000,1.81784701347
ram,tmpfs,timeit_seek_and_read,1,1000000,500000,1.82026100159
ram,tmpfs,timeit_seek_and_read,2,1000000,500000,1.81788802147
ram,tmpfs,timeit_seek_and_read,3,1000000,500000,1.82186889648
ram,tmpfs,timeit_seek_and_read,4,1000000,500000,1.81716513634
ram,tmpfs,timeit_seek_and_read,5,1000000,500000,1.81190299988
ram,tmpfs,timeit_seek_and_read,6,1000000,500000,1.81722807884
ram,tmpfs,timeit_seek_and_read,7,1000000,500000,1.83114409447
ssd,ext4,timeit_seek_and_read,0,1000000,500000,1.92343592644
ssd,ext4,timeit_seek_and_read,1,1000000,500000,1.93568515778
ssd,ext4,timeit_seek_and_read,2,1000000,500000,1.92938709259
ssd,ext4,timeit_seek_and_read,3,1000000,500000,1.91939687729
ssd,ext4,timeit_seek_and_read,4,1000000,500000,1.90991806984
ssd,ext4,timeit_seek_and_read,5,1000000,500000,1.91389679909
ssd,ext4,timeit_seek_and_read,6,1000000,500000,1.91881585121
ssd,ext4,timeit_seek_and_read,7,1000000,500000,1.92894411087
hdd,ext4,timeit_seek_and_read,0,1000000,500000,1.96011304855
hdd,ext4,timeit_seek_and_read,1,1000000,500000,2.09265303612
hdd,ext4,timeit_seek_and_read,2,1000000,500000,1.9746670723
hdd,ext4,timeit_seek_and_read,3,1000000,500000,2.12095212936
hdd,ext4,timeit_seek_and_read,4,1000000,500000,2.15887594223
hdd,ext4,timeit_seek_and_read,5,1000000,500000,2.06105303764
hdd,ext4,timeit_seek_and_read,6,1000000,500000,2.06570506096
