hardware_type,file_system,function,iteration,seek_distance,time
hdd,ext4,seeks_,1,0,4.39217400551
hdd,ext4,seeks_,2,0,4.19770002365
hdd,ext4,seeks_,3,0,4.17969202995
hdd,ext4,seeks_,4,0,4.20082116127
hdd,ext4,seeks_,5,0,4.20676398277
hdd,ext4,seeks_,6,0,4.18380594254
hdd,ext4,seeks_,7,0,4.18982696533
ram,tmpfs,seeks_,0,100,4.03395199776
ram,tmpfs,seeks_,1,100,4.01041388512
ram,tmpfs,seeks_,2,100,4.0892431736
ram,tmpfs,seeks_,3,100,4.09089303017
ram,tmpfs,seeks_,4,100,4.08712887764
ram,tmpfs,seeks_,5,100,4.24402689934
ram,tmpfs,seeks_,6,100,4.10831284523
ram,tmpfs,seeks_,7,100,4.18651604652
hdd,ext4,seeks_,0,100,4.54648900032
hdd,ext4,seeks_,1,100,4.40522098541
hdd,ext4,seeks_,2,100,4.35496711731
hdd,ext4,seeks_,3,100,4.20093488693
hdd,ext4,seeks_,4,100,4.25113582611
hdd,ext4,seeks_,5,100,4.21817398071
hdd,ext4,seeks_,6,100,4.26966118813
hdd,ext4,seeks_,7,100,4.26774907112
ram,tmpfs,seeks_,0,1000,4.21224594116
ram,tmpfs,seeks_,1,1000,4.1167678833
ram,tmpfs,seeks_,2,1000,4.16559100151
ram,tmpfs,seeks_,3,1000,4.20224618912
ram,tmpfs,seeks_,4,1000,4.14935183525
ram,tmpfs,seeks_,5,1000,4.04075694084
ram,tmpfs,seeks_,6,1000,4.11649489403
ram,tmpfs,seeks_,7,1000,4.10808300972
hdd,ext4,seeks_,0,1000,4.28496789932
hdd,ext4,seeks_,1,1000,4.32298588753
hdd,ext4,seeks_,2,1000,4.28692603111
hdd,ext4,seeks_,3,1000,4.37639403343
hdd,ext4,seeks_,4,1000,4.39863705635
hdd,ext4,seeks_,5,1000,4.23768877983
hdd,ext4,seeks_,6,1000,4.26255393028
hdd,ext4,seeks_,7,1000,4.28609490395
ram,tmpfs,seeks_,0,5000,4.08398008347
ram,tmpfs,seeks_,1,5000,4.12696790695
ram,tmpfs,seeks_,2,5000,4.07507205009
ram,tmpfs,seeks_,3,5000,4.1173388958
ram,tmpfs,seeks_,4,5000,4.12671685219
ram,tmpfs,seeks_,5,5000,4.14174509048
ram,tmpfs,seeks_,6,5000,4.09738397598
ram,tmpfs,seeks_,7,5000,4.03470206261
hdd,ext4,seeks_,0,5000,4.23949193954
hdd,ext4,seeks_,1,5000,4.29594707489
hdd,ext4,seeks_,2,5000,4.37832808495
hdd,ext4,seeks_,3,5000,4.18526887894
hdd,ext4,seeks_,4,5000,4.20776581764
hdd,ext4,seeks_,5,5000,4.20455002785
hdd,ext4,seeks_,6,5000,4.27770900726
hdd,ext4,seeks_,7,5000,4.33253502846
ram,tmpfs,seeks_,0,10000,4.12619400024
ram,tmpfs,seeks_,1,10000,4.08267307281
ram,tmpfs,seeks_,2,10000,4.1396651268
ram,tmpfs,seeks_,3,10000,4.3517999649
ram,tmpfs,seeks_,4,10000,4.17482709885
ram,tmpfs,seeks_,5,10000,4.1490790844
ram,tmpfs,seeks_,6,10000,4.14238214493
ram,tmpfs,seeks_,7,10000,4.0304069519
hdd,ext4,seeks_,0,10000,4.31843495369
hdd,ext4,seeks_,1,10000,4.22505092621
hdd,ext4,seeks_,2,10000,4.32070112228
hdd,ext4,seeks_,3,10000,4.27322697639
hdd,ext4,seeks_,4,10000,4.22744297981
hdd,ext4,seeks_,5,10000,4.17499184608
hdd,ext4,seeks_,6,10000,4.33461117744
hdd,ext4,seeks_,7,10000,4.34537100792
ram,tmpfs,seeks_,0,50000,4.1424741745
ram,tmpfs,seeks_,1,50000,4.01165699959
ram,tmpfs,seeks_,2,50000,4.047768116
ram,tmpfs,seeks_,3,50000,4.08455705643
ram,tmpfs,seeks_,4,50000,4.10296487808
ram,tmpfs,seeks_,5,50000,4.24300694466
ram,tmpfs,seeks_,6,50000,4.07075595856
ram,tmpfs,seeks_,7,50000,4.10597610474
hdd,ext4,seeks_,0,50000,4.3574988842
hdd,ext4,seeks_,1,50000,4.39618301392
hdd,ext4,seeks_,2,50000,4.40854907036
hdd,ext4,seeks_,3,50000,4.31442213058
hdd,ext4,seeks_,4,50000,4.32364010811
hdd,ext4,seeks_,5,50000,4.40259790421
hdd,ext4,seeks_,6,50000,4.48008990288
hdd,ext4,seeks_,7,50000,4.52566385269
ram,tmpfs,seeks_,0,100000,4.36487579346
ram,tmpfs,seeks_,1,100000,4.27411317825
ram,tmpfs,seeks_,2,100000,4.21198606491
ram,tmpfs,seeks_,3,100000,4.19288992882
ram,tmpfs,seeks_,4,100000,4.23111486435
ram,tmpfs,seeks_,5,100000,4.10320401192
ram,tmpfs,seeks_,6,100000,4.05425596237
ram,tmpfs,seeks_,7,100000,4.11327004433
hdd,ext4,seeks_,0,100000,4.36525011063
hdd,ext4,seeks_,1,100000,4.51229596138
hdd,ext4,seeks_,2,100000,4.73910808563
hdd,ext4,seeks_,3,100000,4.36585617065
hdd,ext4,seeks_,4,100000,4.22001409531
hdd,ext4,seeks_,5,100000,4.14974999428
hdd,ext4,seeks_,6,100000,4.15916085243
hdd,ext4,seeks_,7,100000,4.23606610298
ram,tmpfs,seeks_,0,500000,4.0153169632
ram,tmpfs,seeks_,1,500000,4.00787711143
ram,tmpfs,seeks_,2,500000,4.04068899155
ram,tmpfs,seeks_,3,500000,4.0686480999
ram,tmpfs,seeks_,4,500000,4.05084109306
ram,tmpfs,seeks_,5,500000,4.18072915077
ram,tmpfs,seeks_,6,500000,4.17094707489
ram,tmpfs,seeks_,7,500000,4.19717311859
hdd,ext4,seeks_,0,500000,4.81596088409
hdd,ext4,seeks_,1,500000,4.32720208168
hdd,ext4,seeks_,2,500000,4.30944108963
hdd,ext4,seeks_,3,500000,4.17032289505
hdd,ext4,seeks_,4,500000,4.16302514076
hdd,ext4,seeks_,5,500000,4.17085003853
hdd,ext4,seeks_,6,500000,4.25620698929
hdd,ext4,seeks_,7,500000,4.26240110397
